Song Name,Movie Name,Release Year,Music Director,Poet,Singers,Actors
"Aao Bacho, Sair Karaen, Tum Ko Pakistan Ki..",Bedari,1957,Fateh Ali Khan,Khawar Zaman,Saleem Raza & Co.,
"Aao Logo, Tumhen Sunaen, Is Dunya Ki Aaj Kahani..",Pehla Qadam,1958,Ghulam Nabi,?,Ahmad Rushdi,
"Aap Karen ManMani.. Chupkay Say Kar Lun Gi, Main Tujh Say..",Chhoti Begum,1956,Tasadduq Hussain,Qateel Shafai,Kousar Parveen,
"Aasman Walay, Teri Dunya Ray Fani, Dekh Li..",Bara Aadmi,1957,Ghulam Nabi,Tufail Ahmad Jamali,Mubarak Begum,
"Aatay Ho Yaad Bar Bar, Kaisay Tumhein Bhulayen Ham..",Qatil,1955,Master Inayat Hussain,Qateel Shafai,Saleem Raza,
"Aati Nahin Zindagi Dobara, Jan Bhi Lay, Ishara..",Khul Ja Sim Sim,1959,Tufail Farooqi,Qateel Shafai,Zubaida Khanum,
"Ab Dam Hi Nikkal Jaye, Ab Mout Hi Aa Jaye..",Bedari,1957,Fateh Ali Khan,Khawar Zaman,Kousar Parveen,
"Ab Jo Milun Gi, Un Say Kahun Gi, Bolo Jee..",Waada,1957,Rasheed Attray,Saifuddin Saif,Kousar Parveen,
Ab Koi Zindagi Ka Sahara Nahin Raha..,Shararay,1955,Feroz Nizami,Tanvir Naqvi,Munawar Sultana,
"Ab Koi Zindagi Ka Sahara Nahin Raha, Jab Tum Nahin To Koi..",Himmat,1959,Saleem Iqbal,Tanvir Naqvi,?,
"Ab Kya Dekhen Rah Tumhari, Beet Chali Hay Raat..",Jago Hua Savera,1959,Tamar Barn,Faiz Ahmad Faiz,Rahat Ghaznavi,
Ab Kyun Na Yaad Ayen Guzray Huay Zamanay..,Shola,1952,Fateh Ali Khan,?,Salma Begum,
Ab Mera Teray Siwa Koi Sahara Na Raha..,Jallan,1955,Mohammad Ali Munnu,Shabab Keranvi,Zubaida Khanum,
"Ab Sunaun Kya Gham Ki Dastan, Door Woh Jahan Hay Abhi..",Teray Baghair,1959,Master Inayat Hussain,Tanvir Naqvi,Naseem Begum,
"Ab To Aa Ja Sajan, Ab To Aa Ja Balam..",Amanat,1950,Nazir Jafri,Qateel Shafai,Salma Begum,
Ab To Jee Bhar Kay Khanjar Chalayen Gay Ham..,Jan-e-Bahar,1958,Rasheed Attray,Qateel Shafai,Naseem Begum,
"Ab Tootay Na Sath, Tumharay Hath Mein Hay Malik Laaj Hamari..",Pinjra,1951,Talib Hussain Jafri,?,Iqbal Leylpuri,
"Abad Aa Kay Kar Day, Barbad Ashiyana, Aa Apnay Sath Lay Aa..",Aavaz,1953,Hassan Latif,Tanvir Naqvi,?,
"Achhi Nahin Yeh Be-Rukhi, Abb Maan Bhi Jayie..",Faisala,1959,A. Hameed,Fyaz Hashmi,Naheed Niazi,
